transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
2011,Nicola Pasini,Milan U19,Primavera B,Genoa,Serie A,1000000,90000,Defender,1991,20
2011,Peter Niemeyer,Werder Bremen,Bundesliga,Hertha BSC,Bundesliga,630000,2000000,Midfielder,1984,27
2011,Aleksandar Ignjovski,OFK Beograd,Jelen SuperLiga,Werder Bremen,Bundesliga,450000,2000000,Midfielder,1991,20
2011,Pajtim Kasami,US Palermo,Serie A,Fulham,Premier League,1000000,1000000,Midfielder,1992,19
2011,Thierry Doubai,BSC Young Boys,Super League,Udinese Calcio,Serie A,1000000,1000000,Midfielder,1988,23
2011,Perparim Hetemaj,Brescia,Serie B,Chievo Verona,Serie A,1000000,1000000,Midfielder,1987,24
2011,Alessandro Gazzi,Bari,Serie B,Siena,Serie A,1000000,1000000,Midfielder,1983,28
2011,Kamil Vacek,Sparta Praha,Fortuna Liga,Chievo Verona,Serie A,1000000,1000000,Midfielder,1987,24
2011,Roberto Pereyra,River Plate,Primera B,Udinese Calcio,Serie A,1000000,1000000,Midfielder,1991,20
2011,Slobodan Medojevic,Vojvodina,Jelen SuperLiga,VfL Wolfsburg,Bundesliga,1000000,1000000,Midfielder,1991,20
2011,Ariel Borysiuk,Legia Warszawa,Ekstraklasa,1.FC K'lautern,Bundesliga,1000000,1000000,Midfielder,1991,20
2011,Santiago Silva,VÃ©lez Sarsfield,Torneo Final,Fiorentina,Serie A,1000000,2000000,Forward,1981,30
2011,ZoltÃ¡n Stieber,Alem. Aachen,2. Bundesliga,1.FSV Mainz 05,Bundesliga,810000,2000000,Forward,1989,22
2011,Jonathan Soriano,FC Barcelona B,LaLiga2,RB Salzburg,Bundesliga,450000,2000000,Forward,1985,26
2011,JosÃ© Crespo,Padova,Serie B,Bologna,Serie A,1000000,1000000,Defender,1987,24
2011,Samuel Souprayen,Stade Rennais,Ligue 1,Dijon,Ligue 1,1000000,1000000,Defender,1989,22
2011,Alessandro Bassoli,Bologna,Serie A,Chievo Verona,Serie A,1000000,135000,Defender,1990,21
2011,Antonio BarragÃ¡n,Real Valladolid,LaLiga2,Valencia,LaLiga,1000000,540000,Defender,1987,24
2011,Yaya Banana,Esperance,Ligue I Pro,FC Sochaux,Ligue 1,1000000,900000,Defender,1991,20
2011,Mattias Johansson,Kalmar FF,Allsvenskan,AZ Alkmaar,Eredivisie,1000000,1000000,Defender,1992,19
2011,Armand TraorÃ©,Arsenal,Premier League,QPR,Premier League,1000000,1000000,Defender,1989,22
2011,Marcus Nilsson,Helsingborg,Allsvenskan,FC Utrecht,Eredivisie,990000,1000000,Defender,1988,23
2011,GueÃ¯da Fofana,AC Le Havre,Ligue 2,Olympique Lyon,Ligue 1,1000000,1000000,Midfielder,1991,20
2011,Marco HÃ¶ger,Alem. Aachen,2. Bundesliga,FC Schalke 04,Bundesliga,1000000,1000000,Midfielder,1989,22
2011,Georges Mandjeck,Stade Rennais,Ligue 1,AJ Auxerre,Ligue 1,900000,1000000,Midfielder,1989,22
2011,Ã„nis Ben-Hatira,Hamburger SV,Bundesliga,Hertha BSC,Bundesliga,540000,1000000,Midfielder,1988,23
2011,Bennard Kumordzi,Panionios,Super League,Dijon,Ligue 1,270000,1000000,Midfielder,1985,26
2011,Miguel PallardÃ³,Getafe,LaLiga,Levante,LaLiga,180000,1000000,Midfielder,1986,25
2011,Emiliano Alfaro,Liverpool FC,Primera DivisiÃ³n,Lazio,Serie A,2000000,608000,Forward,1988,23
2011,Dong-won Ji,Chunnam Dragons,K League Classic,Sunderland,Premier League,2000000,810000,Forward,1991,20
2011,James Vaughan,Everton,Premier League,Norwich,Premier League,2000000,1000000,Forward,1988,23
2011,Anthony Pilkington,Huddersfield,League One,Norwich,Premier League,2000000,180000,Forward,1988,23
2011,Garra DembÃ©lÃ©,Levski Sofia,A Group,SC Freiburg,Bundesliga,1000000,1000000,Forward,1986,25
2011,Jozy Altidore,Villarreal,LaLiga,AZ Alkmaar,Eredivisie,1000000,1000000,Forward,1990,21
2011,Tomas Pekhart,FK Jablonec,Fortuna Liga,1.FC Nuremberg,Bundesliga,1000000,1000000,Forward,1989,22
2011,Issam JemÃ¢a,Lens,Ligue 2,AJ Auxerre,Ligue 1,1000000,1000000,Forward,1984,27
2011,Max Gradel,Leeds,Championship,Saint-Ã‰tienne,Ligue 1,1000000,675000,Forward,1988,23
2011,Ulises DÃ¡vila,Chivas,Primera Clausura,Chelsea,Premier League,1000000,270000,Forward,1991,20
2011,Andrea Raggi,US Palermo,Serie A,Bologna,Serie A,180000,1000000,Defender,1984,27
2011,VÃ­ctor Ibarbo,Atl. Nacional,Liga DIMAYOR II,Cagliari Calcio,Serie A,1000000,810000,Forward,1990,21
2011,Leroy Lita,Middlesbrough,Championship,Swansea,Premier League,1000000,1000000,Forward,1985,26
2011,Brice Jovial,AC Le Havre,Ligue 2,Dijon,Ligue 1,1000000,900000,Forward,1984,27
2011,Nicolai MÃ¼ller,Greuther FÃ¼rth,2. Bundesliga,1.FSV Mainz 05,Bundesliga,1000000,1000000,Defender,1987,24
2011,Graziano PellÃ¨,AZ Alkmaar,Eredivisie,Parma,Serie A,1000000,1000000,Forward,1985,26
